fecha_transaccion,encrypt_rut,comuna,marca,detalle,brand_origin,retail,precio_de_lista_synt,margen_retail,margin_pct,loss_making,price_band,year,month,quarter
2021-05-28,3aa098da085ca36887d4f59d837605aa51e133e28cb180a1f98742f976946831,VALPARAISO,Renault,SYMBOL ZEN 2 C,Incumbent,ces,7149787.653852023,546772.6875,0.07647397572785543,0,Mid,2021,5,2
2021-01-29,c52c28b0b840eadb61335d36f51febc5e71f9dbb0fa4e279f0a928e5df5a5e88,LO BARNECHEA,Suzuki,ALTO 800 GLX AC,Incumbent,propio,5217824.413408046,449747.90625,0.08619452680207096,0,Economy,2021,1,1
2017-01-30,5ea01abc39851b4ed86d0ea89e53d5258dd97a5edd98e299f410b6dcdcfecd7f,CONCEPCION,Suzuki,ERTIGA 1.4 GLX,Incumbent,ces,7598711.5867932355,395315.375,0.05202400044858509,0,Mid,2017,1,1
2014-12-27,7f3155ef36500350483d80685fbd9d5ff429a00747bcfa875d1a93093181e172,CONCON,Mazda,NEW MAZDA3 SPORT V 2.0 6MT,Incumbent,ces,10885728.47033218,826218.5,0.07589923836992306,0,Premium,2014,12,4
2015-05-30,3934ac5dc8ab1fe9a45c087ddc42f4ec278df9fed3a49a596c45039d2b335f68,LA FLORIDA,Suzuki,JIMNY 1.3 JLX AB SPORT AC,Incumbent,propio,7165043.550964458,410637.6875,0.05731126190359662,0,Mid,2015,5,2
2016-11-17,09062ed98b8103b1af128db95acc7edac48dc7be12a0dbba122a6bcff974b17f,LAS CONDES,Suzuki,SWIFT 1.2 GLX AC,Incumbent,ces,7034110.431649958,251008.84375,0.035684518488732636,0,Mid,2016,11,4
2021-09-25,4f087444a09978807fa6751846d4038f9bd7ca490f600bdfa756d95b26be6bdc,TILTIL,Mazda,NEW CX-3 R 2.0L 2WD 6MT IPM,Incumbent,propio,13293175.856411232,886722.9375,0.0667051235218812,0,Premium,2021,9,3
2010-02-09,7ae391d2951e975b6a3f0fd912c8841079bb5223790de93c91f462e1b6123fd5,ESTACION CENTRAL,Suzuki,GRAND NOMADE 2.0 2WD GLX,Incumbent,propio,8495672.46104886,705195.875,0.08300648103292553,0,Premium,2010,2,1
2021-05-28,9aa587bac5e19bbd9dc40ae949f4c1bb2c10e920b92c9006cd2766bdfed993cd,SANTIAGO,Suzuki,SPRESSO 1.0 GLX AC,Incumbent,ces,6283341.730216454,427899.59375,0.0681006400928729,0,Mid,2021,5,2
2014-08-21,91257c137ce3c3c846d5cd7edb5df94bf4e856366b676882aa3182fd7f243859,SANTIAGO,Suzuki,CELERIO 1.0 GA,Incumbent,ces,3731737.6199569865,228319.15625,0.061183067916932406,0,Economy,2014,8,3
